Hora,Media,Desviacion_Estandar,Numero_Mediciones
2025-08-30 05:05:00,252.50,15.41,30
2025-08-30 05:10:00,246.87,15.32,30
2025-08-30 05:15:00,249.77,13.48,30
2025-08-30 05:20:00,243.40,16.49,30
2025-08-30 05:25:00,242.23,13.94,30
2025-08-30 05:30:00,237.63,16.06,30
2025-08-30 05:35:00,238.00,16.75,30
2025-08-30 05:40:00,236.20,17.65,30
2025-08-30 05:45:00,240.87,17.25,30
2025-08-30 05:50:00,242.00,16.89,30
2025-08-30 05:55:00,246.20,16.28,30
2025-08-30 06:00:00,243.62,19.51,29
2025-08-30 06:05:00,238.43,16.11,30
2025-08-30 06:10:00,237.13,13.64,30
2025-08-30 06:15:00,236.63,16.10,30
2025-08-30 06:20:00,230.13,13.49,30
2025-08-30 06:25:00,236.50,12.66,30
2025-08-30 06:30:00,241.33,16.35,30
2025-08-30 06:35:00,248.70,15.32,30
2025-08-30 06:40:00,251.37,15.46,30
2025-08-30 06:45:00,254.40,17.79,30
2025-08-30 06:50:00,252.63,16.71,30
2025-08-30 06:55:00,247.13,17.03,30
2025-08-30 07:00:00,238.53,13.86,30
2025-08-30 07:05:00,230.83,13.49,30
2025-08-30 07:10:00,230.07,17.53,30
2025-08-30 07:15:00,218.93,15.17,30
2025-08-30 07:20:00,215.53,14.97,30
2025-08-30 07:25:00,218.60,18.61,30
2025-08-30 07:30:00,230.83,16.69,30
2025-08-30 07:35:00,226.63,15.28,30
2025-08-30 07:40:00,232.93,15.49,30
2025-08-30 07:45:00,227.37,14.76,30
2025-08-30 07:50:00,224.10,18.95,30
2025-08-30 07:55:00,244.60,18.21,30
2025-08-30 08:00:00,251.13,16.23,30
2025-08-30 08:05:00,254.43,16.51,30
2025-08-30 08:10:00,269.30,21.13,30
2025-08-30 08:15:00,274.37,15.79,30
2025-08-30 08:20:00,282.53,18.43,30
2025-08-30 08:25:00,289.73,15.87,30
2025-08-30 08:30:00,280.40,14.60,30
2025-08-30 08:35:00,280.27,20.17,30
2025-08-30 08:40:00,261.03,15.31,30
2025-08-30 08:45:00,263.87,11.79,30
2025-08-30 08:50:00,252.73,13.57,30
2025-08-30 08:55:00,284.73,17.60,30
2025-08-30 09:00:00,319.83,28.80,30
2025-08-30 09:05:00,324.17,31.07,30
2025-08-30 09:10:00,306.43,18.43,30
2025-08-30 09:15:00,299.03,16.70,30
2025-08-30 09:20:00,291.20,15.87,30
2025-08-30 09:25:00,295.87,17.26,30
2025-08-30 09:30:00,288.57,19.56,30
2025-08-30 09:35:00,281.33,15.58,30
2025-08-30 09:40:00,275.23,17.07,30
2025-08-30 09:45:00,265.77,16.94,30
2025-08-30 09:50:00,262.43,14.38,30
2025-08-30 09:55:00,258.80,12.81,30
2025-08-30 10:00:00,262.83,15.22,30
2025-08-30 10:05:00,258.03,19.99,30
2025-08-30 10:10:00,257.00,16.95,30
2025-08-30 10:15:00,250.37,17.40,30
2025-08-30 10:20:00,244.70,13.04,30
2025-08-30 10:25:00,235.67,15.32,30
2025-08-30 10:30:00,238.63,15.30,30
2025-08-30 10:35:00,233.90,15.34,30
2025-08-30 10:40:00,228.83,16.37,30
2025-08-30 10:45:00,246.57,13.66,30
2025-08-30 10:50:00,249.53,13.23,30
2025-08-30 10:55:00,244.70,14.23,30
2025-08-30 11:00:00,236.67,16.84,30
2025-08-30 11:05:00,243.43,17.69,30
2025-08-30 11:10:00,245.37,18.41,30
2025-08-30 11:15:00,252.00,14.24,30
2025-08-30 11:20:00,245.67,13.29,30
2025-08-30 11:25:00,246.97,14.21,30
2025-08-30 11:30:00,247.13,15.49,30
2025-08-30 11:35:00,254.97,16.82,30
2025-08-30 11:40:00,259.83,14.02,30
2025-08-30 11:45:00,253.57,16.05,30
2025-08-30 11:50:00,258.23,18.98,30
