Date,Dato_Presion,Dato_Temp
2025-08-30 06:05:00-04:00,680.4,4.5
2025-08-30 06:10:00-04:00,680.3,4.6
2025-08-30 06:15:00-04:00,680.3,4.6
2025-08-30 06:20:00-04:00,680.2,4.5
2025-08-30 06:25:00-04:00,680.3,4.5
2025-08-30 06:30:00-04:00,680.4,4.6
2025-08-30 06:35:00-04:00,680.3,4.5
2025-08-30 06:40:00-04:00,680.3,4.3
2025-08-30 06:45:00-04:00,680.3,4.3
2025-08-30 06:50:00-04:00,680.2,4.2
2025-08-30 06:55:00-04:00,680.2,4.2
2025-08-30 07:00:00-04:00,680.3,4.2
2025-08-30 07:05:00-04:00,680.3,4.2
2025-08-30 07:10:00-04:00,680.3,4.3
2025-08-30 07:15:00-04:00,680.3,4.1
2025-08-30 07:20:00-04:00,680.1,4.3
2025-08-30 07:25:00-04:00,680.2,4.8
2025-08-30 07:30:00-04:00,680.4,5.9
2025-08-30 07:35:00-04:00,680.3,7.1
2025-08-30 07:40:00-04:00,680.2,6.7
2025-08-30 07:45:00-04:00,680.1,7.1
2025-08-30 07:50:00-04:00,680.3,8.2
2025-08-30 07:55:00-04:00,680.4,7.3
2025-08-30 08:00:00-04:00,680.4,7.3
2025-08-30 08:05:00-04:00,680.2,7.7
2025-08-30 08:10:00-04:00,680.2,9.4
2025-08-30 08:15:00-04:00,680.2,10.5
2025-08-30 08:20:00-04:00,680.2,10.6
2025-08-30 08:25:00-04:00,680.2,10.7
2025-08-30 08:30:00-04:00,680.1,10.6
2025-08-30 08:35:00-04:00,680.1,9.9
2025-08-30 08:40:00-04:00,680.2,10.5
2025-08-30 08:45:00-04:00,680.1,10.9
2025-08-30 08:50:00-04:00,680.1,9.2
2025-08-30 08:55:00-04:00,680.3,8.4
2025-08-30 09:00:00-04:00,680.2,8.7
2025-08-30 09:05:00-04:00,680.1,8.7
2025-08-30 09:10:00-04:00,680.2,9.0
2025-08-30 09:15:00-04:00,680.3,9.4
2025-08-30 09:20:00-04:00,680.2,9.7
2025-08-30 09:25:00-04:00,680.2,10.3
2025-08-30 09:30:00-04:00,680.2,9.9
2025-08-30 09:35:00-04:00,680.3,11.1
2025-08-30 09:40:00-04:00,680.3,12.8
2025-08-30 09:45:00-04:00,680.2,12.3
2025-08-30 09:50:00-04:00,680.3,12.6
2025-08-30 09:55:00-04:00,680.5,13.8
2025-08-30 10:00:00-04:00,680.5,12.9
2025-08-30 10:05:00-04:00,680.3,12.7
2025-08-30 10:10:00-04:00,680.3,13.9
2025-08-30 10:15:00-04:00,680.3,13.5
2025-08-30 10:20:00-04:00,680.2,13.3
2025-08-30 10:25:00-04:00,680.2,13.5
2025-08-30 10:30:00-04:00,680.0,14.9
2025-08-30 10:35:00-04:00,680.0,13.5
2025-08-30 10:40:00-04:00,680.2,14.2
2025-08-30 10:45:00-04:00,680.2,13.8
2025-08-30 10:50:00-04:00,679.9,14.7
2025-08-30 10:55:00-04:00,679.9,15.2
2025-08-30 11:00:00-04:00,680.0,14.8
2025-08-30 11:05:00-04:00,679.9,14.4
2025-08-30 11:10:00-04:00,679.9,14.5
2025-08-30 11:15:00-04:00,680.0,15.6
2025-08-30 11:20:00-04:00,679.8,14.9
2025-08-30 11:25:00-04:00,680.1,15.5
2025-08-30 11:30:00-04:00,679.9,15.1
2025-08-30 11:35:00-04:00,680.0,15.1
2025-08-30 11:40:00-04:00,679.8,15.3
2025-08-30 11:45:00-04:00,679.8,15.2
2025-08-30 11:50:00-04:00,679.4,15.5
2025-08-30 12:49:00-04:00,,16.6
2025-08-30 12:50:00-04:00,679.0,16.6
2025-08-30 12:55:00-04:00,678.6,16.8
2025-08-30 13:00:00-04:00,678.8,16.9
2025-08-30 13:05:00-04:00,679.1,16.9
2025-08-30 13:10:00-04:00,679.1,17.1
2025-08-30 13:15:00-04:00,678.8,16.8
2025-08-30 13:20:00-04:00,678.7,17.3
2025-08-30 13:25:00-04:00,678.8,17.4
2025-08-30 13:30:00-04:00,678.7,16.8
2025-08-30 13:35:00-04:00,678.5,17.1
2025-08-30 13:40:00-04:00,678.6,17.1
2025-08-30 13:45:00-04:00,678.4,17.5
2025-08-30 13:50:00-04:00,678.4,18.0
2025-08-30 13:55:00-04:00,678.2,17.5
2025-08-30 14:00:00-04:00,678.0,18.0
2025-08-30 14:05:00-04:00,677.9,18.1
2025-08-30 14:10:00-04:00,677.9,17.7
2025-08-30 14:15:00-04:00,677.7,18.0
2025-08-30 14:20:00-04:00,677.7,18.7
2025-08-30 14:25:00-04:00,677.8,17.7
2025-08-30 14:30:00-04:00,677.7,17.8
2025-08-30 14:35:00-04:00,677.4,17.7
2025-08-30 14:40:00-04:00,677.5,17.7
2025-08-30 14:45:00-04:00,677.3,17.3
2025-08-30 14:50:00-04:00,677.2,17.5
2025-08-30 14:55:00-04:00,677.1,18.3
2025-08-30 15:00:00-04:00,676.9,17.9
2025-08-30 15:05:00-04:00,677.0,18.2
2025-08-30 15:10:00-04:00,677.0,19.0
2025-08-30 15:15:00-04:00,676.7,18.5
2025-08-30 15:20:00-04:00,676.7,18.3
2025-08-30 15:25:00-04:00,676.6,18.2
2025-08-30 15:30:00-04:00,676.8,18.2
2025-08-30 15:35:00-04:00,676.6,17.9
2025-08-30 15:40:00-04:00,676.6,18.6
2025-08-30 15:45:00-04:00,676.5,18.0
2025-08-30 15:50:00-04:00,676.6,18.5
2025-08-30 15:55:00-04:00,676.5,18.1
2025-08-30 16:00:00-04:00,676.5,18.2
2025-08-30 16:05:00-04:00,676.3,18.5
2025-08-30 16:10:00-04:00,676.5,18.3
2025-08-30 16:15:00-04:00,676.1,18.9
2025-08-30 16:20:00-04:00,676.1,19.0
2025-08-30 16:25:00-04:00,676.2,19.1
2025-08-30 16:30:00-04:00,676.2,18.6
2025-08-30 16:35:00-04:00,676.1,18.4
2025-08-30 16:40:00-04:00,676.0,19.2
2025-08-30 16:45:00-04:00,676.1,19.1
2025-08-30 16:50:00-04:00,675.9,18.6
2025-08-30 16:55:00-04:00,676.1,19.6
2025-08-30 17:00:00-04:00,675.8,19.4
2025-08-30 17:05:00-04:00,675.9,19.2
2025-08-30 17:10:00-04:00,675.9,19.1
2025-08-30 17:15:00-04:00,676.1,19.3
2025-08-30 17:20:00-04:00,675.9,18.6
2025-08-30 17:25:00-04:00,676.0,18.9
2025-08-30 17:30:00-04:00,675.9,19.1
2025-08-30 17:35:00-04:00,675.9,18.7
2025-08-30 17:40:00-04:00,676.0,18.6
2025-08-30 17:45:00-04:00,675.8,19.2
2025-08-30 17:50:00-04:00,675.9,18.9
2025-08-30 17:55:00-04:00,675.9,18.5
2025-08-30 18:00:00-04:00,675.9,18.3
2025-08-30 18:05:00-04:00,675.9,18.0
2025-08-30 18:10:00-04:00,675.9,17.4
2025-08-30 18:15:00-04:00,675.9,17.1
2025-08-30 18:20:00-04:00,676.0,17.1
2025-08-30 18:25:00-04:00,676.1,16.8
2025-08-30 18:30:00-04:00,675.8,16.4
2025-08-30 18:35:00-04:00,676.1,16.0
2025-08-30 18:40:00-04:00,676.2,15.6
2025-08-30 18:45:00-04:00,676.4,15.3
2025-08-30 18:50:00-04:00,676.6,15.2
2025-08-30 18:55:00-04:00,676.4,14.8
2025-08-30 19:00:00-04:00,676.5,14.5
2025-08-30 19:05:00-04:00,676.8,14.0
2025-08-30 19:10:00-04:00,676.8,13.5
2025-08-30 19:15:00-04:00,676.8,13.3
2025-08-30 19:20:00-04:00,676.8,13.3
2025-08-30 19:25:00-04:00,676.9,13.0
2025-08-30 19:30:00-04:00,677.0,13.1
2025-08-30 19:35:00-04:00,676.9,12.8
2025-08-30 19:40:00-04:00,677.1,12.6
2025-08-30 19:45:00-04:00,677.2,12.3
2025-08-30 19:50:00-04:00,677.3,12.2
2025-08-30 19:55:00-04:00,677.4,12.2
2025-08-30 20:00:00-04:00,677.4,12.1
2025-08-30 20:05:00-04:00,677.4,12.0
2025-08-30 20:10:00-04:00,677.7,11.8
2025-08-30 20:15:00-04:00,677.6,11.6
2025-08-30 20:20:00-04:00,677.7,11.4
2025-08-30 20:25:00-04:00,677.9,11.2
2025-08-30 20:30:00-04:00,677.8,11.1
2025-08-30 20:35:00-04:00,678.0,11.0
2025-08-30 20:40:00-04:00,678.1,10.6
2025-08-30 20:45:00-04:00,678.4,10.3
2025-08-30 20:50:00-04:00,678.6,10.9
2025-08-30 20:55:00-04:00,678.6,10.7
2025-08-30 21:00:00-04:00,678.7,10.7
2025-08-30 21:05:00-04:00,678.9,10.6
2025-08-30 21:10:00-04:00,678.9,10.5
2025-08-30 21:15:00-04:00,679.1,10.2
2025-08-30 21:20:00-04:00,679.0,10.2
2025-08-30 21:25:00-04:00,679.1,10.6
2025-08-30 21:30:00-04:00,679.3,10.7
2025-08-30 21:35:00-04:00,679.5,10.7
2025-08-30 21:40:00-04:00,679.4,10.6
2025-08-30 21:45:00-04:00,679.5,10.6
2025-08-30 21:50:00-04:00,679.4,10.4
2025-08-30 21:55:00-04:00,679.7,10.2
2025-08-30 22:00:00-04:00,679.8,10.2
2025-08-30 22:05:00-04:00,679.8,10.1
2025-08-30 22:10:00-04:00,679.9,10.0
2025-08-30 22:15:00-04:00,680.0,10.1
2025-08-30 22:20:00-04:00,680.0,10.0
2025-08-30 22:25:00-04:00,680.2,9.8
2025-08-30 22:30:00-04:00,680.1,9.6
2025-08-30 22:35:00-04:00,680.2,9.3
2025-08-30 22:40:00-04:00,680.1,9.2
2025-08-30 22:45:00-04:00,680.1,9.0
2025-08-30 22:50:00-04:00,680.4,8.9
2025-08-30 22:55:00-04:00,680.3,8.9
2025-08-30 23:00:00-04:00,680.3,8.7
2025-08-30 23:05:00-04:00,680.3,8.7
2025-08-30 23:10:00-04:00,680.4,8.6
2025-08-30 23:15:00-04:00,680.5,8.7
2025-08-30 23:20:00-04:00,680.5,8.4
2025-08-30 23:25:00-04:00,680.5,8.3
2025-08-30 23:30:00-04:00,680.4,8.3
2025-08-30 23:35:00-04:00,680.6,8.4
2025-08-30 23:40:00-04:00,680.6,8.6
2025-08-30 23:45:00-04:00,680.7,9.0
2025-08-30 23:50:00-04:00,680.5,9.1
2025-08-30 23:55:00-04:00,680.4,9.0
2025-08-31 00:00:00-04:00,680.7,9.1
2025-08-31 00:05:00-04:00,680.6,9.1
2025-08-31 00:10:00-04:00,680.5,9.2
2025-08-31 00:15:00-04:00,680.6,9.1
2025-08-31 00:20:00-04:00,680.3,9.1
2025-08-31 00:25:00-04:00,680.4,9.0
2025-08-31 00:30:00-04:00,680.5,8.9
2025-08-31 00:35:00-04:00,680.4,8.8
2025-08-31 00:40:00-04:00,680.4,8.7
2025-08-31 00:45:00-04:00,680.5,8.6
2025-08-31 00:50:00-04:00,680.5,8.5
2025-08-31 00:55:00-04:00,680.4,8.3
2025-08-31 01:00:00-04:00,680.5,8.2
2025-08-31 01:05:00-04:00,680.3,8.3
2025-08-31 01:10:00-04:00,680.2,8.2
2025-08-31 01:15:00-04:00,680.2,8.1
2025-08-31 01:20:00-04:00,680.3,8.1
2025-08-31 01:25:00-04:00,680.2,8.1
2025-08-31 01:30:00-04:00,680.1,8.1
2025-08-31 01:35:00-04:00,680.0,8.1
2025-08-31 01:40:00-04:00,680.0,8.1
2025-08-31 01:45:00-04:00,680.1,8.0
2025-08-31 01:50:00-04:00,679.9,8.1
2025-08-31 01:55:00-04:00,679.9,8.0
2025-08-31 02:00:00-04:00,679.9,7.9
2025-08-31 02:05:00-04:00,679.8,7.8
2025-08-31 02:10:00-04:00,679.7,7.6
2025-08-31 02:15:00-04:00,679.7,7.5
2025-08-31 02:20:00-04:00,679.8,7.8
2025-08-31 02:25:00-04:00,679.6,7.5
2025-08-31 02:30:00-04:00,679.6,7.4
2025-08-31 02:35:00-04:00,679.5,7.4
2025-08-31 02:40:00-04:00,679.4,7.2
2025-08-31 02:45:00-04:00,679.5,7.0
2025-08-31 02:50:00-04:00,679.5,6.8
2025-08-31 02:55:00-04:00,679.7,6.7
2025-08-31 03:00:00-04:00,679.5,6.6
2025-08-31 03:05:00-04:00,679.5,6.3
2025-08-31 03:10:00-04:00,679.6,6.4
2025-08-31 03:15:00-04:00,679.6,6.5
2025-08-31 03:20:00-04:00,679.5,6.4
2025-08-31 03:25:00-04:00,679.5,6.4
2025-08-31 03:30:00-04:00,679.7,6.2
2025-08-31 03:35:00-04:00,679.6,6.3
2025-08-31 03:40:00-04:00,679.8,6.6
2025-08-31 03:45:00-04:00,679.6,6.6
2025-08-31 03:50:00-04:00,679.9,6.6
2025-08-31 03:55:00-04:00,679.8,6.7
2025-08-31 04:00:00-04:00,679.9,6.7
2025-08-31 04:05:00-04:00,679.9,6.7
2025-08-31 04:10:00-04:00,680.0,6.8
2025-08-31 04:15:00-04:00,680.0,6.9
2025-08-31 04:20:00-04:00,679.9,7.1
2025-08-31 04:25:00-04:00,680.2,6.9
2025-08-31 04:30:00-04:00,680.0,6.8
2025-08-31 04:35:00-04:00,680.0,6.6
2025-08-31 04:40:00-04:00,680.1,6.7
2025-08-31 04:45:00-04:00,680.2,6.6
2025-08-31 04:50:00-04:00,680.0,6.4
2025-08-31 04:55:00-04:00,680.1,6.4
2025-08-31 05:00:00-04:00,680.2,6.6
2025-08-31 05:05:00-04:00,680.1,6.3
2025-08-31 05:10:00-04:00,680.1,6.5
2025-08-31 05:15:00-04:00,680.1,6.3
2025-08-31 05:20:00-04:00,680.2,6.3
2025-08-31 05:25:00-04:00,680.1,6.1
2025-08-31 05:30:00-04:00,680.1,6.1
2025-08-31 05:35:00-04:00,680.2,6.0
2025-08-31 05:40:00-04:00,680.3,6.1
2025-08-31 05:45:00-04:00,680.2,6.1
2025-08-31 05:50:00-04:00,680.3,6.1
2025-08-31 05:55:00-04:00,680.2,6.0
2025-08-31 06:00:00-04:00,680.4,6.0
2025-08-31 06:05:00-04:00,680.5,6.0
2025-08-31 06:10:00-04:00,680.5,6.1
2025-08-31 06:15:00-04:00,680.5,6.1
2025-08-31 06:20:00-04:00,680.5,6.1
2025-08-31 06:25:00-04:00,680.7,6.1
2025-08-31 06:30:00-04:00,680.8,6.0
2025-08-31 06:35:00-04:00,680.8,6.0
2025-08-31 06:40:00-04:00,681.0,5.9
2025-08-31 06:45:00-04:00,680.9,5.8
2025-08-31 06:50:00-04:00,681.0,5.7
2025-08-31 06:55:00-04:00,681.0,5.6
2025-08-31 07:00:00-04:00,681.0,5.7
2025-08-31 07:05:00-04:00,681.0,5.9
2025-08-31 07:10:00-04:00,681.1,5.7
2025-08-31 07:15:00-04:00,681.1,5.6
2025-08-31 07:20:00-04:00,681.1,6.3
2025-08-31 07:25:00-04:00,681.3,7.1
2025-08-31 07:30:00-04:00,681.3,6.8
2025-08-31 07:35:00-04:00,681.3,7.4
2025-08-31 07:40:00-04:00,681.4,8.8
2025-08-31 07:45:00-04:00,681.4,9.4
2025-08-31 07:50:00-04:00,681.5,8.9
2025-08-31 07:55:00-04:00,681.5,9.8
2025-08-31 08:00:00-04:00,681.5,10.5
2025-08-31 08:05:00-04:00,681.4,11.3
2025-08-31 08:10:00-04:00,681.5,12.2
2025-08-31 08:15:00-04:00,681.6,11.3
2025-08-31 08:20:00-04:00,681.7,11.2
2025-08-31 08:25:00-04:00,681.7,11.3
2025-08-31 08:30:00-04:00,681.6,10.3
2025-08-31 08:35:00-04:00,681.6,11.4
2025-08-31 08:40:00-04:00,681.5,12.0
2025-08-31 08:45:00-04:00,681.7,12.7
2025-08-31 08:50:00-04:00,681.8,11.0
2025-08-31 08:55:00-04:00,681.6,13.0
2025-08-31 09:00:00-04:00,681.6,12.6
2025-08-31 09:05:00-04:00,681.6,11.6
2025-08-31 09:10:00-04:00,681.6,11.1
2025-08-31 09:15:00-04:00,681.4,11.5
2025-08-31 09:20:00-04:00,681.6,11.0
2025-08-31 09:25:00-04:00,681.5,11.6
2025-08-31 09:30:00-04:00,681.8,11.9
2025-08-31 09:35:00-04:00,681.7,11.6
2025-08-31 09:40:00-04:00,681.6,11.8
2025-08-31 09:45:00-04:00,681.7,11.2
2025-08-31 09:50:00-04:00,681.7,12.0
2025-08-31 09:55:00-04:00,681.6,12.1
2025-08-31 10:00:00-04:00,681.5,12.7
2025-08-31 10:05:00-04:00,681.4,13.8
2025-08-31 10:10:00-04:00,681.2,13.8
2025-08-31 10:15:00-04:00,681.4,13.5
2025-08-31 10:20:00-04:00,681.4,13.0
2025-08-31 10:25:00-04:00,681.5,14.1
2025-08-31 10:30:00-04:00,681.3,13.8
2025-08-31 10:35:00-04:00,681.4,13.4
2025-08-31 10:40:00-04:00,681.2,13.8
2025-08-31 10:45:00-04:00,681.3,13.3
2025-08-31 10:50:00-04:00,681.2,13.0
2025-08-31 10:55:00-04:00,681.1,13.6
2025-08-31 11:00:00-04:00,681.0,14.1
2025-08-31 11:05:00-04:00,681.2,13.6
2025-08-31 11:10:00-04:00,681.0,14.8
2025-08-31 11:15:00-04:00,680.8,13.8
2025-08-31 11:20:00-04:00,680.9,13.9
2025-08-31 11:25:00-04:00,680.8,15.3
2025-08-31 11:30:00-04:00,680.7,15.3
2025-08-31 11:35:00-04:00,680.7,15.1
2025-08-31 11:40:00-04:00,680.7,15.5
2025-08-31 11:45:00-04:00,680.6,15.9
2025-08-31 11:50:00-04:00,680.5,16.5
2025-08-31 11:55:00-04:00,680.4,15.6
2025-08-31 12:00:00-04:00,680.4,15.4
2025-08-31 12:05:00-04:00,680.3,15.8
2025-08-31 12:10:00-04:00,680.3,15.7
2025-08-31 12:15:00-04:00,680.2,15.7
2025-08-31 12:20:00-04:00,680.1,16.3
2025-08-31 12:25:00-04:00,680.1,16.7
2025-08-31 12:30:00-04:00,680.1,16.1
2025-08-31 12:35:00-04:00,679.8,17.4
2025-08-31 12:40:00-04:00,679.9,17.0
2025-08-31 12:45:00-04:00,679.9,16.6
2025-08-31 12:50:00-04:00,679.7,16.7
2025-08-31 12:55:00-04:00,679.7,17.2
2025-08-31 13:00:00-04:00,679.5,17.7
2025-08-31 13:05:00-04:00,679.6,17.4
2025-08-31 13:10:00-04:00,679.6,17.2
2025-08-31 13:15:00-04:00,679.2,17.9
2025-08-31 13:20:00-04:00,679.4,18.0
2025-08-31 13:25:00-04:00,679.2,18.3
2025-08-31 13:30:00-04:00,679.1,18.2
