Hora,Presion,Temperatura,Media_Cuentas,Desviacion_Cuentas,Mediciones
2025-08-29 09:45:00,681.0,9.9,250.20,16.16,30
2025-08-29 09:50:00,681.0,9.7,260.13,15.68,30
2025-08-29 09:55:00,681.1,10.7,270.37,13.19,30
2025-08-29 10:00:00,681.0,10.2,270.10,15.96,30
2025-08-29 10:05:00,681.0,10.7,265.10,18.87,30
2025-08-29 10:10:00,680.8,10.6,249.37,16.98,30
2025-08-29 10:15:00,680.9,11.0,240.40,16.14,30
2025-08-29 10:20:00,680.9,10.4,242.70,16.54,30
2025-08-29 10:25:00,680.7,11.3,249.43,15.65,30
2025-08-29 10:30:00,680.7,11.5,260.97,16.62,30
2025-08-29 10:35:00,680.6,11.7,265.07,15.84,30
2025-08-29 10:40:00,680.4,11.8,267.90,16.55,30
2025-08-29 10:45:00,680.7,12.2,250.03,19.56,30
2025-08-29 10:50:00,680.4,12.6,217.33,16.22,30
2025-08-29 10:55:00,680.5,12.4,221.53,21.62,30
2025-08-29 11:00:00,680.3,12.1,235.79,15.43,29
2025-08-29 11:05:00,680.3,12.9,242.67,11.84,30
2025-08-29 11:10:00,680.2,12.6,242.13,13.95,30
2025-08-29 11:15:00,680.2,13.7,246.20,14.50,30
2025-08-29 11:20:00,680.0,12.9,240.80,12.47,30
2025-08-29 11:25:00,680.0,12.6,240.03,17.41,30
2025-08-29 11:30:00,679.6,13.3,246.17,16.74,30
2025-08-29 11:35:00,679.7,13.5,249.53,17.11,30
2025-08-29 11:40:00,679.5,13.6,248.63,17.22,30
2025-08-29 11:45:00,679.5,13.4,250.67,15.05,30
2025-08-29 11:50:00,679.4,13.8,253.13,15.39,30
2025-08-29 11:55:00,679.1,14.6,257.07,14.69,30
2025-08-29 12:00:00,679.2,15.5,259.80,16.24,30
2025-08-29 12:05:00,678.8,15.9,263.87,14.85,30
2025-08-29 12:10:00,679.0,15.4,271.13,18.61,30
2025-08-29 12:15:00,678.7,15.8,266.40,15.72,30
2025-08-29 12:20:00,678.7,16.0,273.17,15.71,30
2025-08-29 12:25:00,678.5,16.5,269.20,16.51,30
2025-08-29 12:30:00,678.5,16.6,243.27,15.32,30
2025-08-29 12:35:00,678.4,16.4,242.67,13.44,30
