Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.47
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:21:20
End Time:	enero 01, 2002, 12:26:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	30659	587	4	340

Channel Data:
Channel	Energy	Counts
556	556.0	166
557	557.0	183
558	558.0	153
559	559.0	170
560	560.0	172
561	561.0	160
562	562.0	199
563	563.0	169
564	564.0	167
565	565.0	182
566	566.0	174
567	567.0	184
568	568.0	168
569	569.0	183
570	570.0	180
571	571.0	167
572	572.0	162
573	573.0	160
574	574.0	152
575	575.0	161
576	576.0	171
577	577.0	169
578	578.0	173
579	579.0	189
580	580.0	178
581	581.0	185
582	582.0	171
583	583.0	160
584	584.0	163
585	585.0	173
586	586.0	185
587	587.0	162
588	588.0	152
589	589.0	160
590	590.0	149
591	591.0	170
592	592.0	163
593	593.0	155
594	594.0	168
595	595.0	148
596	596.0	159
597	597.0	160
598	598.0	171
599	599.0	155
600	600.0	151
601	601.0	141
602	602.0	185
603	603.0	148
604	604.0	159
605	605.0	166
606	606.0	150
607	607.0	149
608	608.0	171
609	609.0	153
610	610.0	157
611	611.0	162
612	612.0	146
613	613.0	164
614	614.0	156
615	615.0	156
616	616.0	159
617	617.0	145
618	618.0	150
619	619.0	145
620	620.0	161
621	621.0	170
622	622.0	163
623	623.0	149
624	624.0	143
625	625.0	165
626	626.0	148
627	627.0	142
628	628.0	160
629	629.0	130
630	630.0	146
631	631.0	159
632	632.0	138
633	633.0	162
634	634.0	127
635	635.0	146
636	636.0	146
637	637.0	163
638	638.0	154
639	639.0	154
640	640.0	127
641	641.0	170
642	642.0	144
643	643.0	159
644	644.0	177
645	645.0	151
646	646.0	148
647	647.0	151
648	648.0	161
649	649.0	153
650	650.0	166
651	651.0	151
652	652.0	136
653	653.0	145
654	654.0	148
655	655.0	159
656	656.0	166
657	657.0	152
658	658.0	164
659	659.0	146
660	660.0	153
661	661.0	157
662	662.0	188
663	663.0	191
664	664.0	187
665	665.0	207
666	666.0	170
667	667.0	164
668	668.0	192
669	669.0	172
670	670.0	186
671	671.0	194
672	672.0	203
673	673.0	211
674	674.0	215
675	675.0	190
676	676.0	211
677	677.0	218
678	678.0	223
679	679.0	232
680	680.0	236
681	681.0	239
682	682.0	249
683	683.0	265
684	684.0	270
685	685.0	271
686	686.0	241
687	687.0	262
688	688.0	300
689	689.0	314
690	690.0	310
691	691.0	305
692	692.0	340
693	693.0	335
694	694.0	334
695	695.0	316
696	696.0	328
697	697.0	315
698	698.0	332
699	699.0	337
700	700.0	374
701	701.0	377
702	702.0	399
703	703.0	381
704	704.0	349
705	705.0	374
706	706.0	386
707	707.0	428
708	708.0	406
709	709.0	411
710	710.0	423
711	711.0	400
712	712.0	426
713	713.0	450
714	714.0	391
715	715.0	396
716	716.0	409
717	717.0	417
718	718.0	445
719	719.0	396
720	720.0	394
721	721.0	419
722	722.0	416
723	723.0	397
724	724.0	389
725	725.0	391
726	726.0	390
727	727.0	403
728	728.0	397
729	729.0	380
730	730.0	404
731	731.0	358
732	732.0	384
