Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.07
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:27:42
End Time:	enero 01, 2002, 12:32:47
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	29183	226	10	340

Channel Data:
Channel	Energy	Counts
616	616.0	169
617	617.0	151
618	618.0	129
619	619.0	136
620	620.0	146
621	621.0	150
622	622.0	145
623	623.0	140
624	624.0	160
625	625.0	142
626	626.0	119
627	627.0	151
628	628.0	133
629	629.0	154
630	630.0	132
631	631.0	154
632	632.0	140
633	633.0	133
634	634.0	147
635	635.0	142
636	636.0	170
637	637.0	143
638	638.0	160
639	639.0	115
640	640.0	145
641	641.0	130
642	642.0	140
643	643.0	135
644	644.0	125
645	645.0	162
646	646.0	146
647	647.0	134
648	648.0	138
649	649.0	154
650	650.0	160
651	651.0	147
652	652.0	124
653	653.0	139
654	654.0	114
655	655.0	130
656	656.0	133
657	657.0	133
658	658.0	150
659	659.0	137
660	660.0	129
661	661.0	147
662	662.0	137
663	663.0	128
664	664.0	150
665	665.0	139
666	666.0	138
667	667.0	127
668	668.0	131
669	669.0	128
670	670.0	114
671	671.0	110
672	672.0	141
673	673.0	136
674	674.0	153
675	675.0	136
676	676.0	142
677	677.0	124
678	678.0	139
679	679.0	166
680	680.0	112
681	681.0	146
682	682.0	120
683	683.0	128
684	684.0	149
685	685.0	119
686	686.0	141
687	687.0	154
688	688.0	131
689	689.0	130
690	690.0	131
691	691.0	138
692	692.0	139
693	693.0	132
694	694.0	153
695	695.0	121
696	696.0	147
697	697.0	138
698	698.0	136
699	699.0	139
700	700.0	124
701	701.0	142
702	702.0	134
703	703.0	153
704	704.0	132
705	705.0	136
706	706.0	141
707	707.0	136
708	708.0	125
709	709.0	148
710	710.0	123
711	711.0	143
712	712.0	144
713	713.0	115
714	714.0	154
715	715.0	121
716	716.0	111
717	717.0	118
718	718.0	133
719	719.0	138
720	720.0	127
721	721.0	140
722	722.0	125
723	723.0	121
724	724.0	128
725	725.0	128
726	726.0	125
727	727.0	128
728	728.0	135
729	729.0	130
730	730.0	139
731	731.0	115
732	732.0	124
733	733.0	108
734	734.0	115
735	735.0	119
736	736.0	104
737	737.0	133
738	738.0	140
739	739.0	106
740	740.0	106
741	741.0	121
742	742.0	116
743	743.0	123
744	744.0	108
745	745.0	124
746	746.0	104
747	747.0	130
748	748.0	102
749	749.0	113
750	750.0	113
751	751.0	126
752	752.0	113
753	753.0	123
